iter	MAE	RMSE
387	0.2874807162	0.4308265973
388	0.2874225877	0.4307542577
389	0.287355287	0.4306627049
390	0.2872551857	0.4305726309
391	0.2871826274	0.430438387
392	0.2871302281	0.4303692059
393	0.2870723767	0.4302696706
394	0.2869839659	0.4301445014
395	0.2869343734	0.4300412025
396	0.2867882197	0.4298829589
397	0.2864840929	0.4296133542
398	0.2861549168	0.4293008024
399	0.2860992576	0.4291896561
400	0.2860283103	0.4290863562
401	0.2859418807	0.4288880585
402	0.2858628057	0.4287718685
403	0.2858277425	0.4286952118
404	0.2856898729	0.4285719457
405	0.2855699327	0.4283457504
406	0.2852748937	0.4280496461
407	0.2852596692	0.4280107062
408	0.284980587	0.4277391536
409	0.2848483165	0.4275575347
410	0.2847559632	0.4274046127
411	0.2845273908	0.4271063755
412	0.2844486168	0.4269445405
413	0.2843096284	0.4267899799
414	0.2842720501	0.4267405139
415	0.2840299116	0.4265060825
416	0.2838816624	0.4263451265
417	0.2838248844	0.4262720708
418	0.2836980566	0.4261328931
419	0.2836305434	0.4260589728
420	0.283471496	0.4258650395
421	0.283196559	0.4256100806
422	0.2831720703	0.4255482544
423	0.2831382499	0.4254654941
424	0.283020366	0.425280331
425	0.2829359144	0.4251507506
426	0.2828990567	0.4250891869
427	0.2828217682	0.4249667843
428	0.2827537573	0.4248984855
429	0.2826547513	0.424760136
430	0.2825183639	0.4245417722
431	0.2823946438	0.4243438471
432	0.2823275817	0.4242230273
433	0.2822855662	0.4241547418
434	0.2822029463	0.4240053648
435	0.2820875213	0.4238166317
436	0.2820478704	0.4237787197
437	0.2818012955	0.4235555416
438	0.2817273803	0.4234425243
439	0.2815474587	0.4232815547
440	0.2814766179	0.4231786889
441	0.2812166736	0.4229143782
442	0.2811236937	0.4227913548
443	0.2809214995	0.422596297
444	0.280823982	0.4224957236
445	0.280671251	0.4223369483
446	0.2805266848	0.4221095958
447	0.2804417383	0.4219799802
448	0.2804073669	0.4219145147
449	0.280170997	0.4216171455
450	0.2800851801	0.4214816621
451	0.2798784828	0.421193933
452	0.2797539699	0.4210171942
453	0.2797109372	0.4209335911
454	0.2795455513	0.4207265769
455	0.2795110676	0.420658196
456	0.2794848545	0.4206243771
457	0.2794135319	0.4204971502
458	0.2792011068	0.4201506418
459	0.2791635591	0.4200697993
460	0.2791064134	0.4199696765
461	0.2790545991	0.4199115899
462	0.2790078127	0.4198172123
463	0.2786469868	0.4194911231
464	0.2785698832	0.4193886065
465	0.2784636894	0.4192738363
466	0.2783896504	0.4191391735
467	0.2782628705	0.4190002855
468	0.2781687289	0.4188898207
469	0.2779924521	0.4187391817
470	0.277873826	0.4186100717
471	0.2777130817	0.4183759369
472	0.2775062982	0.4181853992
473	0.2774283042	0.41806975
474	0.2773792671	0.4179379712
475	0.2773590303	0.4178967421
476	0.2772873854	0.4177664011
477	0.2772234385	0.4176714199
478	0.2771711138	0.4175789785
479	0.2770574209	0.4174113798
480	0.2768662299	0.4171311114
481	0.2766842138	0.4168951738
482	0.2766344097	0.416810001
483	0.2764596314	0.4165314408
484	0.2763307006	0.4163198916
485	0.2762097512	0.4161058037
486	0.2761045978	0.4159301439
487	0.2759735765	0.4157834579
488	0.2758412672	0.4156542471
489	0.2758086056	0.4155894743
490	0.2756704888	0.4154578688
491	0.2755849354	0.4153096241
492	0.275542586	0.4152055982
493	0.2755231475	0.4151645742
494	0.2754928817	0.4151074876
495	0.2754222992	0.4149938609
496	0.275346998	0.414861803
497	0.2751067191	0.4146536116
498	0.2749499808	0.4145248408
499	0.2749144585	0.414438156
500	0.2748578581	0.4143196094
501	0.2747892906	0.4142247948
502	0.2745671309	0.4139080341
503	0.2743945612	0.4136628703
504	0.2742512003	0.4134912555
505	0.2741424889	0.4133322951
506	0.2738961968	0.4129751335
507	0.2738110143	0.412843807
508	0.273753416	0.4127827294
