make,model,n,distinct_years,annual_dep_rate,method
MERCURY,GRAND MARQUIS,21,11,0.146466860316099,fit_medium
MINI,JOHN COOPER WORKS,21,11,0.10358941633491947,fit_medium
BENTLEY,CONTINENTAL GT,21,7,0.09878834889351873,fit_medium
AUDI,RS3,21,9,0.11430098548457013,fit_medium
MERCEDES BENZ,GLC200,21,8,0.11654600590355435,fit_medium
BMW,335I,21,9,0.14619690590915901,fit_medium
BMW,730Li,21,16,0.1766242691677219,fit_medium
BMW,740Li,21,16,0.15346842802922833,fit_medium
Kia,Seltos,21,6,0.114797657872302,fit_medium
GMC,SAVANA,21,14,0.1126644274837495,fit_medium
GENESIS,GV80,21,6,0.06052802969050819,fit_medium
LAND ROVER,LR2,21,9,0.13453392417250964,fit_medium
LEXUS,LS430,21,8,0.1057726768942836,fit_medium
HYUNDAI,MATRIX,21,10,0.1583294717483853,fit_medium
DODGE,NITRO,21,5,0.13125353703663856,fit_medium
BMW,318I,20,10,0.12423506035094445,fit_medium
LEXUS,LS 460,20,8,0.10695847615174314,fit_medium
LAND ROVER,DEFENDER 130,20,3,0.0023756635796856607,fit_medium
Toyota,Corolla,20,10,0.08747176597480555,fit_medium
VOLKSWAGEN,CADDY,20,9,0.1346643514600473,fit_medium
TOYOTA,COROLLA 1.8,20,12,0.08991591728250348,fit_medium
HYUNDAI,VERACRUZ,20,7,0.13127373915192753,fit_medium
Hyundai,ELANTRA,20,7,0.12038902489901127,fit_medium
AUDI,S5,20,14,0.1397870084603442,fit_medium
BMW,325I,20,13,0.16956811117513348,fit_medium
Nissan,Xterra,20,5,0.07416478584169395,fit_medium
MASERATI,GRAN TURISMO,20,12,0.14379363223972885,fit_medium
BMW,420i,20,12,0.11568071297907567,fit_medium
HYUNDAI,GETZ,19,10,0.15791956455549228,fit_medium
HAVAL,H9,19,9,0.11594350918086671,fit_medium
MERCEDES BENZ,GLA250,19,10,0.10798308639325993,fit_medium
MERCEDES BENZ,C200 K,19,6,0.19840439983055802,fit_medium
MERCEDES BENZ,GLE53 AMG,19,6,0.1252607081167174,fit_medium
HONGQI,HS5,19,6,0.04465309649443472,fit_medium
TOYOTA,VIOS,19,8,0.10718541932393955,fit_medium
NISSAN,PATROL GLV,19,6,0.013150703719732815,fit_medium
PEUGEOT,207,19,5,0.12957331541426276,fit_medium
GEELY,EMGRAND,19,6,0.095024911996889,fit_medium
LINCOLN,AVIATOR,19,5,0.1386591036110949,fit_medium
HYUNDAI,I30,19,10,0.10699412578972123,fit_medium
MERCEDES BENZ,VIANO,19,11,0.1199996399317077,fit_medium
MERCEDES BENZ,CLS500,19,11,0.1716163705679351,fit_medium
MERCEDES BENZ,GLA200,19,8,0.10906505501034602,fit_medium
MITSUBISHI,FUSO CANTER,19,5,0.10858304177268019,fit_medium
BMW,735I,18,5,0.1550594244321003,fit_medium
BMW,430I GRAN COUPE,18,10,0.13924233537608277,fit_medium
CHRYSLER,300,18,10,0.1668854518511813,fit_medium
TOYOTA,ECHO,18,6,0.08263134069960576,fit_medium
TOYOTA,GRANVIA,18,7,0.0777676777968398,fit_medium
LINCOLN,CONTINENTAL,18,4,0.24748929752443238,fit_medium
MERCEDES BENZ,S500 L,18,8,0.1360649917501221,fit_medium
MERCEDES BENZ,S320,18,10,0.13769703368895692,fit_medium
Mitsubishi,ASX,18,8,0.07669964847150978,fit_medium
HYUNDAI,GRAND i10,18,10,0.1314373206810292,fit_medium
TOYOTA,TOYOTA,18,9,0.049962121031405404,fit_medium
OPEL,CORSA,18,8,0.13833717788659605,fit_medium
Nissan,Altima,18,10,0.11518292046942802,fit_medium
GREAT WALL,WINGLE 7,18,7,0.03236407617428694,fit_medium
NISSAN,ROGUE SPORT,18,6,0.08429608890517548,fit_medium
MERCEDES BENZ,E320,18,12,0.14674969438213437,fit_medium
GREAT WALL,WINGLE 5,18,9,0.10667162686420328,fit_medium
KIA,SONET,18,5,0.11000992472397064,fit_medium
INFINITI,G35,18,8,0.1492647997865595,fit_medium
INFINITI,Q30,18,3,0.13923196889129297,fit_medium
BMW,540I,18,10,0.15208874797968597,fit_medium
Toyota,Fortuner,18,8,0.04501313285029973,fit_medium
MG,ZS EV,18,7,0.19211078616549193,fit_medium
MINI,COOPER S COUNTRYMAN,18,9,0.10409604791866522,fit_medium
INFINITI,FX35,18,9,0.21190502486545315,fit_medium
Dodge,Charger,18,7,0.11710878789096202,fit_medium
MERCEDES BENZ,G55 AMG,18,12,0.10983799833482388,fit_medium
MERCEDES BENZ,C180,18,13,0.16380614806277016,fit_medium
CHEVROLET,GROOVE,18,5,0.06172222277584727,fit_medium
MAXUS,T60,18,8,0.0634601429046574,fit_medium
ALFA ROMEO,STELVIO,18,7,0.11965829285548912,fit_medium
TANK,300,18,6,0.10623963702915806,fit_medium
VOLVO,S80,18,12,0.12376747745976246,fit_medium
ABARTH,695,18,6,0.07369782992324736,fit_medium
ASTON MARTIN,VANTAGE,17,12,0.11768656632015462,fit_medium
AUDI,R8,17,12,0.14464634715065672,fit_medium
MERCEDES BENZ,GLE350,17,10,0.1413086463172304,fit_medium
LEXUS,LS500,17,6,0.08558393026679878,fit_medium
BESTUNE,T77,17,5,0.05129088599210607,fit_medium
RENAULT,DOKKER,17,8,0.09707347902439978,fit_medium
MERCEDES BENZ,GLE63 AMG,17,10,0.15755316278388376,fit_medium
Land Rover,Defender,17,6,0.0940070398697822,fit_medium
BAIC,X7,17,5,0.10183368105147006,fit_medium
BMW,428I,17,3,0.06344537811770934,fit_medium
Honda,Civic,17,6,0.05722261457376576,fit_medium
LEXUS,GS430,17,9,0.0860364679050416,fit_medium
BYD,LEOPARD 8,17,3,0.05788045464077263,fit_medium
LINCOLN,MKC,17,5,0.1347340900542512,fit_medium
KIA,CERATO KOUP,17,8,0.13251392012006158,fit_medium
LEXUS,GS450H,17,11,0.14779747600284032,fit_medium
NISSAN,CIVILIAN,17,10,0.12140580841807636,fit_medium
JAC,J7,17,5,0.12205114566548636,fit_medium
HUMMER,H2,17,7,0.17692782193026002,fit_medium
GREAT WALL,POER,17,6,0.06645936318908563,fit_medium
BYD,LEOPARD,17,2,0.09413154785349742,fit_low
TOYOTA,COROLLA 1.6,17,10,0.051519364501772746,fit_medium
KIA,STINGER,17,6,0.1416082221638112,fit_medium
SUZUKI,CELERIO,17,9,0.13306911970290647,fit_medium
MG,7,17,4,0.1358661936943465,fit_medium
MERCEDES BENZ,CLA35 AMG,17,6,0.10202535989045103,fit_medium
PORSCHE,CAYENNE COUPE,17,7,0.16040907392865322,fit_medium
GMC,Yukon,17,9,0.11085460500290756,fit_medium
CHANGAN,UNI-K,16,4,0.10673135260581668,fit_medium
NISSAN,FRONTIER,16,11,0.13025934054949995,fit_medium
BENTLEY,MULSANNE,16,10,0.17401023300005214,fit_medium
MAXUS,V80,16,9,0.06812688441854464,fit_medium
VOLKSWAGEN,TRANSPORTER,16,11,0.10115326827505433,fit_medium
LAND ROVER,LR3,16,5,0.07872168464793161,fit_medium
LEXUS,LC500,16,8,0.06000535217402281,fit_medium
SUZUKI,SX4,16,9,0.17992777352285372,fit_medium
MERCEDES-BENZ,A200,16,7,0.145946910457602,fit_medium
CHANGAN,EADO PLUS,16,4,0.10409285798840151,fit_medium
Jeep,Grand Cherokee,16,8,0.1315086818944986,fit_medium
JEEP,PATRIOT,16,9,0.09199853823445647,fit_medium
FERRARI,812,16,7,0.22204045679918538,fit_medium
LEXUS,LX470,16,8,0.09393080765189465,fit_medium
HYUNDAI,VENUE,16,7,0.11691865241954191,fit_medium
AUDI,E-TRON,16,4,0.09948899543998346,fit_medium
GENESIS,G90,16,8,0.14877329428595176,fit_medium
ABARTH,595,16,9,0.08347926364165215,fit_medium
ROLLS ROYCE,WRAITH,16,9,0.1452677623687092,fit_medium
DAIHATSU,GRAN MAX,16,8,0.08016423764420222,fit_medium
LEXUS,CT200H,16,9,0.10438503408454958,fit_medium
HYUNDAI,GRANDEUR,16,8,0.14049914338296887,fit_medium
MERCEDES BENZ,CLS450,16,6,0.08999324743109693,fit_medium
Nissan,Sunny,16,7,0.09586729957857831,fit_medium
MERCEDES BENZ,GL450,16,9,0.1558363907522189,fit_medium
MERCEDES BENZ,CLA200,16,7,0.15017640223940631,fit_medium
Nissan,Xtrail,16,8,0.12346973367610914,fit_medium
INFINITI,QX55,16,5,0.12415643577493651,fit_medium
FORD,CROWN VICTORIA,16,11,0.1312354273185844,fit_medium
LINCOLN,MKS,16,8,0.04606120846532036,fit_medium
NISSAN,QUEST,15,7,0.07058857929517404,fit_medium
AVATR,12,15,4,0.1890049859966766,fit_medium
FORD,MONDEO,15,9,0.1665437954248299,fit_medium
GAC,GS3 EMZOOM,15,4,-0.11403216952465067,fit_medium
OPEL,ASTRA,15,7,0.15581422372679743,fit_medium
BMW,325i,15,11,0.11663991458280198,fit_medium
BMW,523I,15,8,0.14942214940331033,fit_medium
Chevrolet,Tahoe,15,7,0.09030477558097416,fit_medium
RENAULT,MASTER,15,5,0.12243760811556237,fit_medium
TOYOTA,COROLLA 1.3,15,13,0.07618338658376167,fit_medium
VOLKSWAGEN,ID 6 CROZZ,15,3,0.015565695259698753,fit_medium
MERCEDES BENZ,SLK200,15,11,0.14072750351309316,fit_medium
Volkswagen,Tiguan,15,9,0.10931417613481142,fit_medium
Toyota,LAND CRUISER PRADO,15,9,0.075039903901291,fit_medium
MERCEDES BENZ,GLC 43 AMG,15,9,0.13967794644607745,fit_medium
Toyota,Yaris,15,8,0.09137228961228794,fit_medium
MITSUBISHI,NATIVA,15,8,0.09302684355616408,fit_medium
MERCEDES BENZ,C180 K,15,7,0.14043494810042556,fit_medium
BYD,LEOPARD 5,15,3,0.18856554483524657,fit_medium
MERCEDES BENZ,E240,15,9,0.1609820423516971,fit_medium
PEUGEOT,TRAVELLER,15,8,0.07858029513140241,fit_medium
HYUNDAI,COUPE,15,10,0.19049883388007327,fit_medium
HYUNDAI,GENESIS COUPE,15,8,0.10523573563319422,fit_medium
BMW,550I,15,12,0.18247154473173133,fit_medium
EXEED,RX,15,4,0.0004811290129953516,fit_medium
TOYOTA,CROWN,15,7,0.04793466436916394,fit_medium
CHANGAN,ALSVIN,15,6,0.09500583433350274,fit_medium
CHANGAN,CS75 PLUS,15,6,0.07378761783538867,fit_medium
BMW,535I,15,6,0.06507276165806208,fit_medium
LEXUS,RC F,15,7,0.09483192411651242,fit_medium
MERCEDES BENZ,S450,15,7,0.18897342762144897,fit_medium
BYD,SEAL,15,3,-0.039548250358330206,fit_medium
MITSUBISHI,PAJERO SPORT,15,6,0.13787312960848674,fit_medium
LEXUS,GX470,14,7,0.07504767547455071,fit_medium
CITROEN,C5 AIRCROSS,14,5,0.10030620389455835,fit_medium
Volkswagen,Teramont,14,5,0.1692474590401366,fit_medium
Lexus,ES350,14,8,0.13435005908535802,fit_medium
Mini,Cooper,14,8,0.10403790948964764,fit_medium
MERCEDES BENZ,GLK350,14,7,0.1851513161505537,fit_medium
RENAULT,TALISMAN,14,3,0.2957750006892209,fit_medium
CHANGAN,CS85,14,5,0.13631198212046913,fit_medium
NISSAN,ROUGE,14,7,0.08025449175001964,fit_medium
AUDI,RS5,14,10,0.13406308623715735,fit_medium
BMW,XM,14,3,0.08621225044062131,fit_medium
OPEL,INSIGNIA,14,7,0.14730289942517694,fit_medium
NISSAN,NISSAN PATROL,14,9,0.016282406525084947,fit_medium
LEXUS,LS600H,14,8,0.15661003261828765,fit_medium
MERCEDES BENZ,SL63 AMG,14,9,0.13423343768109153,fit_medium
MAZDA,CX-90,14,3,0.03761156178010261,fit_medium
BAIC,BJ40,14,5,0.08160831511421263,fit_medium
CHEVROLET,ASTRO,14,8,-0.03184920177708683,fit_medium
CHERY,TIGGO 7 PRO,14,3,-0.0064355581581923005,fit_medium
HYUNDAI,TRAJET,14,8,0.16554633574597677,fit_medium
LEXUS,IS200T,14,3,0.14834980129795194,fit_medium
BMW,760I,14,5,0.1339737695067269,fit_medium
DODGE,VIPER,14,7,0.0753175812933885,fit_medium
ROLLS ROYCE,DAWN,14,8,0.11332372964775583,fit_medium
MERCEDES BENZ,ML500,14,11,0.1522254320109081,fit_medium
Mazda,CX-5,14,9,0.09992119145742395,fit_medium
BMW,760LI,14,9,0.14142792200227117,fit_medium
VOLKSWAGEN,AMAROK,14,6,0.17696349224292973,fit_medium
Hyundai,Creta,14,9,0.11775288933462424,fit_medium
JAC,JS4,14,5,0.10745487511607077,fit_medium
MERCEDES-BENZ,GLE450,14,7,0.1100121313597674,fit_medium
TOYOTA,URBAN CRUISER,14,4,0.08078047066020289,fit_medium
SKODA,KAMIQ,14,3,0.12165830183066562,fit_medium
NISSAN,350Z,14,7,0.09115896000202428,fit_medium
SEAT,LEON,14,8,0.13583230025684767,fit_medium
BYD,SONG PLUS,14,4,0.10751875037482495,fit_medium
JEEP,COMMANDER,14,5,0.059123307298619254,fit_medium
MERCEDES BENZ,SPRINTER,14,10,0.13180589779612817,fit_medium
EXEED,LX,14,4,0.053631260827723515,fit_medium
TOYOTA,ALPHARD,13,9,0.11257542699044798,fit_medium
LEXUS,NX 350H,13,4,0.05932194063107199,fit_medium
MERCEDES BENZ,CLS63 AMG,13,7,0.21545245391939427,fit_medium
MERCEDES BENZ,CLS53 AMG,13,7,0.13900498275878737,fit_medium
ALFA ROMEO,GIULIETTA,13,7,0.12132840572015335,fit_medium
PEUGEOT,206,13,7,0.17608484914840083,fit_medium
FERRARI,SF90,13,5,0.08344695314027195,fit_medium
TANK,500,13,4,-0.015228232137115993,fit_medium
MERCEDES BENZ,E450,13,6,0.0901119572102268,fit_medium
VOLVO,V40,13,7,0.13451963569431358,fit_medium
CMC,VERYCA,13,6,0.08019529981673235,fit_medium
Kia,Sorento,13,6,0.103355148364212,fit_medium
MITSUBISHI,GRANDIS,13,7,0.09546119420093502,fit_medium
BYD,SONG L,13,2,0.002128791910590566,fit_low
JAGUAR,XK,13,7,0.11235459853837482,fit_medium
SUBARU,TRIBECA,13,8,0.11028256599169606,fit_medium
MERCEDES-BENZ,CLA250,13,6,0.1367870679473322,fit_medium
LEXUS,IS 350,13,5,0.06375681266244215,fit_medium
CHANGAN,CS35,13,6,0.1746666785038069,fit_medium
VOLKSWAGEN,MULTIVAN,13,7,0.011387841947454347,fit_medium
CADILLAC,XTS,13,7,0.14961736003150883,fit_medium
CADILLAC,XT6,13,5,0.05981444083095033,fit_medium
MERCEDES BENZ,S 500,13,9,0.007857766809739153,fit_medium
CHRYSLER,200,13,6,0.12075833303805339,fit_medium
Honda,HRV,13,5,0.1460649197100936,fit_medium
ROX,1,13,3,0.24533793710478846,fit_medium
BMW,220I,13,5,0.16670321889680606,fit_medium
VOLKSWAGEN,EOS,13,8,0.1702756537859822,fit_medium
AUDI,S7,13,10,0.12328349217831669,fit_medium
DODGE,CALIBER,13,5,0.15427520627975255,fit_medium
BMW,X6 M,13,11,0.14139043454706568,fit_medium
CITROEN,C4,13,7,0.14410006431105704,fit_medium
SKODA,FABIA,13,9,0.14924416032506793,fit_medium
BMW,328I,13,7,0.15694737835807904,fit_medium
LEXUS,GS460,13,5,0.12607354181722663,fit_medium
MG,3,13,3,0.2293140476771428,fit_medium
VICTORY,V2,13,6,0.12758206692526852,fit_medium
BMW,M2,13,8,0.1403553134140122,fit_medium
MERCEDES BENZ,A 200,13,7,-0.10750118265972386,fit_medium
GAC,EMPOW,13,5,0.19060542651030365,fit_medium
BMW,M440I,13,6,0.07868652443337476,fit_medium
GREAT WALL,WINGLE 3,13,6,0.11788887201966725,fit_medium
AUDI,RS7,13,9,0.15986518723511645,fit_medium
GEELY,EMGRAND X7 SPORT,13,4,0.12117597892156828,fit_medium
GMC,HUMMER EV,12,4,0.07247417139202605,fit_medium
BYD,HAN,12,4,0.09397572777223329,fit_medium
CHEVROLET,EPICA,12,6,0.22104561105098963,fit_medium
MERCEDES BENZ,C240,12,7,0.11035151949418087,fit_medium
Ford,Escape,12,6,0.14307024751639885,fit_medium
GAC,M8,12,5,0.26137083964348173,fit_medium
TOYOTA,TOYOTA COROLLA,12,6,0.11069962951385348,fit_medium
FORD,E-450,12,8,0.12865411629289192,fit_medium
NISSAN,Z,12,4,0.12543802658173353,fit_medium
AUDI,SQ5,12,8,0.12187667911970124,fit_medium
CHERY,TIGGO 8 PRO MAX,12,3,0.03969893741391661,fit_medium
JAGUAR,X TYPE,12,7,0.1253895167334098,fit_medium
KIA,K8,12,5,0.13227373392409925,fit_medium
VICTORY,K1,12,8,0.12285574305025293,fit_medium
INFINITI,EX35,12,6,0.12443335683546841,fit_medium
MERCURY,MOUNTAINEER,12,7,0.13498326730239274,fit_medium
MERCEDES-BENZ,V250,12,5,0.16373383106742934,fit_medium
HYUNDAI,i30,12,7,0.09242494912547461,fit_medium
BMW,318i,12,6,0.14918531210506714,fit_medium
HYUNDAI,GRAND SANTA FE,12,7,0.07584695435028366,fit_medium
Chevrolet,Traverse,12,9,0.13742112784073657,fit_medium
HONDA,MRV,12,6,0.142612979689132,fit_medium
TOYOTA,VELOZ,12,6,-0.004431599651910645,fit_medium
HONGQI,EHS9,12,6,0.08969497224460232,fit_medium
MERCEDES BENZ,CL550,12,7,0.1284994518880993,fit_medium
MERCEDES BENZ,E280,12,7,-0.03427720889236063,fit_medium
MAZDA,323,12,7,0.13495145455321644,fit_medium
MERCEDES BENZ,E400,12,5,0.12691425152724534,fit_medium
MERCEDES BENZ,CLK320,12,7,0.17243494534388426,fit_medium
PEUGEOT,307,12,5,0.16523713847498445,fit_medium
AUDI,A1,12,6,0.08211988784628643,fit_medium
RAM,2500,12,7,0.1187547420446271,fit_medium
EXEED,TXL,12,4,0.04763821982209793,fit_medium
CHRYSLER,300S,12,7,0.19779346988777302,fit_medium
MERCEDES BENZ,SL500,12,11,0.09686934874349251,fit_medium
Mazda,3,12,7,0.06146066646616266,fit_medium
JAC,T8,12,5,0.06511622415955953,fit_medium
CADILLAC,CT6,12,3,-0.12547068715818677,fit_medium
Hyundai,Accent,12,6,0.10523005810988273,fit_medium
SKODA,SCALA,12,3,0.07803638242447108,fit_medium
MERCEDES-BENZ,SPRINTER,12,8,0.09592980017794239,fit_medium
MASERATI,GRECALE,12,5,-0.07972151025461915,fit_medium
BMW,640I GRAN COUPE,12,5,0.1257851822923426,fit_medium
BMW,630I,12,8,0.14621513077127135,fit_medium
BYD,LEOPARD 7,11,2,-0.13386593920498346,fit_low
CHERY,ARRIZO 5,11,7,0.10203004154000861,fit_medium
MERCEDES BENZ,E 550,11,5,0.11740219146595143,fit_medium
AUDI,Q2,11,7,0.1048473642661496,fit_medium
RENAULT,TRAFIC,11,5,0.12926756273139406,fit_medium
FIAT,500X,11,5,0.0911744620082654,fit_medium
GEELY,OKAVANGO,11,5,0.14138828187443564,fit_medium
GEELY,STARRAY,11,3,0.05694682030709475,fit_medium
Skoda,Octavia,11,6,0.17743528550995658,fit_medium
Land Rover,RANGE ROVER SPORT,11,7,0.11320969613154586,fit_medium
Porsche,Cayenne,11,7,0.19093673023425584,fit_medium
MERCEDES BENZ,G550,11,7,0.07767198520948393,fit_medium
MERCEDES BENZ,C230,11,5,0.17774088824890766,fit_medium
MERCEDES BENZ,CLS550,11,7,0.17371723896952396,fit_medium
LEXUS,GS250,11,4,0.13412715259996566,fit_medium
LAMBORGHINI,GALLARDO,11,7,0.09176262524478707,fit_medium
SUZUKI,KIZASHI,11,6,0.15209788102632837,fit_medium
MERCEDES-BENZ,C200,11,8,0.1401695186896399,fit_medium
LEXUS,IS300C,11,7,0.12956713886898086,fit_medium
BMW,525I,11,6,0.08358859105336813,fit_medium
Kia,Cerato,11,5,0.12649863661222271,fit_medium
BMW,323I,11,7,0.11266192187590518,fit_medium
MAZDA,BT-50,11,5,0.11341735788998453,fit_medium
BMW,120i,11,8,0.17191719494390123,fit_medium
Land Rover,RANGE ROVER VELAR,11,6,0.13376391715918634,fit_medium
Chevrolet,Groove,11,5,0.04213551549944461,fit_medium
VOLVO,C30,11,5,0.08357946310989184,fit_medium
CHERVOLET,CAPRICE,11,6,0.19631766519120342,fit_medium
MG,350,11,5,0.1518081639762796,fit_medium
MERCEDES-BENZ,GLC200,11,5,0.12225802406720998,fit_medium
CHRYSLER,GRAND VOYAGER,11,9,0.12903536047634345,fit_medium
CHRYSLER,PACIFICA,11,4,0.22021822300297333,fit_medium
DODGE,JOURNEY,11,6,0.1482805053649915,fit_medium
CHANGAN,CS75,11,5,0.09838273335208036,fit_medium
JETOUR,X90 PLUS,11,3,0.10520953577943537,fit_medium
HONGQI,H5,11,7,0.1287816658836375,fit_medium
MERCEDES BENZ,C 200,11,6,0.10621896322084234,fit_medium
BMW,M850I,11,6,0.12807051086970722,fit_medium
JETOUR,G700,11,2,0.027389273571743145,fit_low
FERRARI,296,11,4,0.033691596244376454,fit_medium
FERRARI,458 ITALIA,11,5,0.12909155802984928,fit_medium
NISSAN,2400,11,9,0.0914601105515428,fit_medium
HONDA,ZR-V,11,3,0.13806953530196342,fit_medium
MERCEDES BENZ,C280,11,5,0.14522713324214087,fit_medium
NISSAN,NISSAN,11,9,0.0021785910905266492,fit_medium
HYUNDAI,CENTENNIAL,11,7,0.17626152317056432,fit_medium
BMW,540i,11,7,0.15176071732099572,fit_medium
MITSUBISHI,ECLIPSE,11,8,0.13088011980470804,fit_medium
MERCEDES BENZ,ML63 AMG,11,7,0.14152771419646115,fit_medium
Mazda,6 ULTRA,11,10,0.08162482548508243,fit_medium
LINCOLN,MK-T,11,6,0.041495886236279755,fit_medium
BMW,740i,11,6,0.16704565500833113,fit_medium
MERCEDES BENZ,GLS63 AMG,11,8,0.15357861349241753,fit_medium
BAIC,BJ40 PLUS,11,6,0.07785274563863753,fit_medium
MERCEDES BENZ,GLB250,11,6,0.11393204177276828,fit_medium
Lexus,RX350,11,8,0.10755133152987317,fit_medium
JAC,M4,11,6,0.17178118565560008,fit_medium
INFINITI,M37,11,3,0.04748325761871208,fit_medium
INFINITI,QX 80,11,6,0.07951720157714881,fit_medium
BYD,ATTO 3,10,3,0.03738553920927856,fit_medium
BMW,M340I,10,6,0.07120909212876747,fit_medium
Audi,A6,10,7,0.14815038053098484,fit_medium
GEELY,EMGRAND GT,10,3,0.38397666047817824,fit_medium
AUDI,RSQ3,10,5,0.1456087906928023,fit_medium
ZNA,RICH,10,5,0.15204832377748856,fit_medium
AUDI,S6,10,7,0.14580544199392675,fit_medium
BAIC,U5 PLUS,10,4,0.06664204539224161,fit_medium
SOUEAST,S06,10,2,0.1882710531020939,fit_low
HONDA,FIT,10,8,-0.0013320204184390505,fit_medium
BMW,IX1,10,3,0.03803136377786931,fit_medium
BMW,I8,10,6,0.15127900223031077,fit_medium
MERCEDES BENZ,A220,10,4,-0.0030964691946917533,fit_medium
FORD,EVEREST,10,3,0.16559147254259277,fit_medium
MERCEDES BENZ,SLK350,10,9,0.1337833202195462,fit_medium
MERCEDES BENZ,SLS AMG,10,5,0.16293650916285152,fit_medium
LEXUS,ES 350,10,7,0.03874430448633026,fit_medium
MERCEDES-BENZ,S500,10,5,0.17090743896598848,fit_medium
KIA,SPORTAGE L,10,3,0.010157809951357621,fit_medium
BMW,316I,10,5,0.133313699613955,fit_medium
SUBARU,OUTBACK,10,9,0.1278647269910691,fit_medium
MG,360,10,3,0.023984305929924732,fit_medium
EXEED,VX,10,4,0.12117018494331988,fit_medium
KIA,K4000,10,6,0.1530674286993675,fit_medium
VICTORY,V1,10,6,0.045908184468901325,fit_medium
MG,GS,10,5,0.18030907866136958,fit_medium
MERCEDES-BENZ,GLC300,10,6,0.11861079191043655,fit_medium
BMW,325Ci,10,8,0.14349094336755075,fit_medium
HONGQI,H9,10,5,0.024785516410351427,fit_medium
SUZUKI,FRONX,10,3,0.1473330437006225,fit_medium
SUZUKI,ALTO,10,6,0.1521330873596356,fit_medium
Honda,City,10,7,0.09401454204116344,fit_medium
Mazda,CX-3,10,6,0.08183464196292989,fit_medium
CHEVROLET,OPTRA,10,6,0.14702438509857918,fit_medium
MERCEDES BENZ,S580,10,5,0.174519249970991,fit_medium
MERCEDES BENZ,S560,10,5,-0.028995271579999482,fit_medium
BESTUNE,B70,10,3,0.1584118128848696,fit_medium
LEXUS,RC300,10,7,0.12934996072370053,fit_medium
LEXUS,RX330,10,4,0.0280979373322503,fit_medium
MERCEDES BENZ,S450 L,10,6,0.16342109435927832,fit_medium
CHANGAN,UNI-V,10,3,0.10398354464314252,fit_medium
BMW,118I,10,7,0.15869910209727933,fit_medium
Mini,COOPER S COUNTRYMAN,10,5,0.12314437498403219,fit_medium
MERCEDES BENZ,GLC63 AMG,10,5,0.15236767938157936,fit_medium
BESTUNE,T99,10,5,0.07678092156504113,fit_medium
Suzuki,Baleno,10,5,0.13501827305051595,fit_medium
BMW,218I GRAN COUPE,10,5,0.10754572085764402,fit_medium
MERCEDES BENZ,GLS580,10,6,0.15731190020284624,fit_medium
BMW,750i,10,8,0.12372059273068103,fit_medium
Toyota,Raize,10,3,0.07299000146575618,fit_medium
MERCEDES BENZ,CL63 AMG,9,6,0.22122121880329115,fit_low
MERCEDES BENZ,E53 AMG,9,6,0.08614892576968547,fit_low
MERCEDES BENZ,E55 AMG,9,6,-0.012721092499551334,fit_low
BENTLEY,ARNAGE,9,8,0.14234898227335346,fit_low
AUDI,S4,9,7,0.12041340954879931,fit_low
MCLAREN,720S,9,6,0.010141625551432498,fit_low
MERCEDES BENZ,GLA45 AMG,9,7,0.0726354259540325,fit_low
TOYOTA,SOLARA,9,6,0.20709346875784584,fit_low
TOYOTA,SCION,9,4,0.09581633554418434,fit_low
Ford,TERRITORY,9,4,0.06764115718260255,fit_low
GAC,GN6,9,3,0.1519043073749765,fit_low
PEUGEOT,RCZ,9,5,0.12710936949340945,fit_low
FORD ,TAURUS,9,5,0.112351385120247,fit_low
BYD,QIN PLUS,9,4,0.1298741453041261,fit_low
RENAULT,TWIZY,9,5,0.1006112729203894,fit_low
MITSUBISHI,XPANDER CROSS,9,3,0.10112067098105904,fit_low
Mazda,CX-30,9,5,0.01775499887773946,fit_low
Mitsubishi,MONTERO SPORT,9,5,0.1883820293277464,fit_low
TOYOTA,LITEACE,9,3,0.10602633786399496,fit_low
FORD,EXPLORER SPORT TRAC,9,4,0.04721433697057631,fit_low
JAC,JS6,9,4,-0.0004687961852944955,fit_low
BMW,535i,9,6,0.041026019288426196,fit_low
INFINITI,G25,9,3,-0.03384668957078674,fit_low
INFINITI,QX30,9,4,0.29580766087375765,fit_low
INFINITI,FX50,9,5,0.052465235888630946,fit_low
BMW,730I,9,5,0.12885888342701657,fit_low
VOLKSWAGEN,ATLAS,9,5,-0.00457499802000938,fit_low
TOYOTA,LEVIN,9,6,0.12527863657540528,fit_low
FERRARI,CALIFORNIA,9,8,0.0856600891411805,fit_low
TOYOTA,ZELAS,9,4,0.12975219015729256,fit_low
HONGQI,OUSADO,9,2,-0.029537878787876393,fit_low
NISSAN,SKYLINE,9,6,-0.4772232044601348,fit_low
HONDA,S2000,9,6,0.07994187401781117,fit_low
Kia,K5,9,3,0.09504255512011284,fit_low
DODGE,DART,9,3,0.07278804554605234,fit_low
SKODA,KUSHAQ,9,3,0.04858210635386462,fit_low
KIA,QUORIS,9,5,0.15253429926178508,fit_low
KIA,OPRIUS,9,6,0.16644195478347434,fit_low
KIA,K2700,9,6,0.12909742027049653,fit_low
MERCEDES-BENZ,GLS 600,9,6,0.03962179793279119,fit_low
BMW,525i,9,8,0.09164784410460824,fit_low
BMW,323i,9,5,0.142169610960728,fit_low
BMW,218i GRAN COUPE,9,6,0.14869101387761208,fit_low
BMW,228I GRAN COUPE,9,5,0.07761687584498955,fit_low
Kia,Carnival,9,8,0.13459165854759858,fit_low
BMW,320Ci,9,6,0.12765560068840176,fit_low
