make,model,n,distinct_years,annual_dep_rate,method
INFINITI,QX80,83,14,0.15805242085386806,fit_high
FORD,TAURUS,82,19,0.13592479412850156,fit_high
MERCEDES BENZ,E200,82,26,0.1505298247648007,fit_high
LAND ROVER,DEFENDER 90,81,7,0.07006809584116636,fit_high
MAZDA,CX-5,80,14,0.10060923045786718,fit_high
AUDI,Q5,80,17,0.15117217161446028,fit_high
MERCEDES BENZ,C300,80,18,0.15692323362930805,fit_high
JEEP,CHEROKEE,80,23,0.1204763366790822,fit_high
TOYOTA,FJ CRUISER,79,18,0.10208318106744096,fit_high
MITSUBISHI,MIRAGE,78,12,0.11560115594485387,fit_high
TOYOTA,SIENNA,78,25,0.10233817618768737,fit_high
MERCEDES BENZ,E350,77,22,0.14529984954488373,fit_high
NISSAN,ARMADA,77,22,0.15690362884613296,fit_high
MERCEDES BENZ,S500,77,28,0.13977091811391373,fit_high
LEXUS,IS350,76,20,0.12947901899457903,fit_high
BMW,X3,75,23,0.15434834610693904,fit_high
BMW,X4,74,11,0.14124811088789235,fit_high
VOLVO,XC90,74,23,0.1899380990111783,fit_high
LEXUS,GX460,74,14,0.128109564132054,fit_high
INFINITI,QX60,73,12,0.15959954697875,fit_high
PORSCHE,MACAN,73,13,0.08676189105800736,fit_high
AUDI,A4,73,23,0.1602480186730174,fit_high
AUDI,A8,73,25,0.18417792513057407,fit_high
RENAULT,MEGANE,73,18,0.14619534921248045,fit_high
SUZUKI,JIMNY,72,28,0.0937227445208485,fit_high
AUDI,A3,72,23,0.14174698861981405,fit_high
MAZDA,CX-9,72,17,0.13294009401033902,fit_high
BMW,520I,71,21,0.1663172821752814,fit_high
ISUZU,NPR,71,31,0.08321743709652185,fit_high
TOYOTA,PREVIA,68,20,0.11366684691761508,fit_high
MERCEDES BENZ,E300,68,17,0.16133377722409248,fit_high
INFINITI,QX50,68,13,0.1672324904673519,fit_high
RENAULT,KOLEOS,68,18,0.13385322431940816,fit_high
MITSUBISHI,MONTERO SPORT,67,11,0.12341941584934246,fit_high
RENAULT,DUSTER,67,15,0.13105623101700514,fit_high
TOYOTA,SEQUOIA,66,22,0.09524156857027954,fit_high
NISSAN,VERSA,66,20,0.08809024423670853,fit_high
