make,model,annual_dep_rate
BENTLEY,FLYING SPUR,0.1529595069349008
BENTLEY,GT,0.1480746011592842
BENTLEY,MULLINER,0.1480746011592842
BENTLEY,MULSANNE,0.1740102330000521
BESTUNE,B70,0.1584118128848696
BESTUNE,B70S,0.0544181193814301
BESTUNE,NAT E05,0.0652942246739737
BESTUNE,T33,-0.1258261933904529
BESTUNE,T77,0.051290885992106
BESTUNE,T90,0.0652942246739737
BESTUNE,T99,0.0767809215650411
BMW,1 SERIES,0.1420568219674346
BMW,116I,0.1597535246312792
BMW,118I,0.1586991020972793
BMW,120I,0.1497776651939724
BMW,125I,0.1626883335571443
BMW,128I,0.1420568219674346
BMW,135I,0.2066477223949717
BMW,15,0.1420568219674346
BMW,1M,0.0919977504948648
BMW,2012,0.1420568219674346
BMW,2022,0.1420568219674346
BMW,218I ACTIVE TOURER,-0.0251929517984565
BMW,218I GRAN COUP,0.1420568219674346
BMW,218I GRAN COUPE,0.107545720857644
BMW,218i,0.1138539937995755
BMW,220,0.1420568219674346
BMW,220D,0.1420568219674346
BMW,220I,0.166703218896806
BMW,225,0.1420568219674346
BMW,225I ACTIVE TOURER,0.1420568219674346
BMW,228,0.1420568219674346
BMW,228I,0.0328151986183082
BMW,228I GRAN COUPE,0.0776168758449895
BMW,230I,0.1223628439021847
BMW,235I,0.1420568219674346
BMW,3 SERIES,0.1420568219674346
BMW,316I,0.133313699613955
BMW,318,0.1420568219674346
BMW,318Ci,0.3792748167766178
BMW,318I,0.1242350603509444
BMW,320,0.0472815233392827
BMW,320 I,0.0768014266976656
BMW,320 SEDAN,0.047282
BMW,3201,0.047282
BMW,320Ci,0.1276556006884017
BMW,320D,0.1508147687082334
BMW,320I,0.1568232379183871
BMW,320LI,0.1420568219674346
BMW,323,-0.2853834355161644
BMW,323I,0.1126619218759051
BMW,325,0.1420568219674346
BMW,325Ci,0.1434909433675507
BMW,325I,0.1695681111751334
BMW,325XI,0.1420568219674346
BMW,328,0.1420568219674346
BMW,328I,0.156947378358079
BMW,330 I,0.1420568219674346
BMW,330CI,0.1801577781251291
BMW,330E,0.1420568219674346
BMW,330I,0.1619819047780279
BMW,335,0.1420568219674346
BMW,335Ci,0.1298210468985927
BMW,335I,0.146196905909159
BMW,340i,0.1289657319854268
BMW,4 SERIES,0.1308588777768218
BMW,420I,0.1262856254803281
BMW,420I GRAN COUPE,0.1448599226515186
BMW,428I,0.0634453781177093
BMW,428I GRAN COUPE,0.1548566142460664
BMW,430I,0.1317783830406732
BMW,430I GRAN COUPE,0.1392423353760827
BMW,435I,0.1532041214464606
BMW,435I GRAN COUPE,0.2860294117647044
BMW,440,0.1420568219674346
BMW,440I,0.1261079865609391
BMW,440I GRAN COUPE,-0.1983077550224745
BMW,5 SERIES,0.124593185333213
BMW,5 Series GT,0.1200054327681203
BMW,520,0.3076795226822798
BMW,520D,0.1420568219674346
BMW,520I,0.1663172821752814
BMW,523I,0.1494221494033103
BMW,525,0.1420568219674346
BMW,525 I,0.1420568219674346
BMW,5251,-0.0305225317715844
BMW,525I,0.0835885910533681
BMW,528,0.1420568219674346
BMW,528 I,-0.0411806104958001
BMW,528I,0.1511023927784683
BMW,530I,0.1575400548267924
BMW,530Li,0.1420568219674346
BMW,530e,0.1420568219674346
BMW,535I,0.065072761658062
BMW,540,0.122137709071143
BMW,540I,0.1520887479796859
BMW,545I,0.1420568219674346
BMW,550I,0.1824715447317313
BMW,6 SERIES GT,0.1420568219674346
BMW,630I,0.1462151307712713
BMW,640,0.1420568219674346
BMW,640I GRAN COUPE,0.1257851822923426
BMW,640i,0.1085412910655859
BMW,645 CI,0.1420568219674346
BMW,645Ci,0.2685362240017946
BMW,650I,0.1828071629339206
BMW,650i GRAN COUPE,0.2008709016393416
BMW,7 SERIES,0.2072338129571345
BMW,728,0.1420568219674346
BMW,730I,0.1288588834270165
BMW,730LI,0.1671873126188207
BMW,735I,0.1550594244321003
BMW,735LI,0.1420568219674346
BMW,740,0.1420568219674346
BMW,740I,0.1363517538170912
BMW,740LI,0.1250942153108496
BMW,740LT,0.1420568219674346
BMW,745I,0.1901764225717371
BMW,745LI,0.2512305176458395
BMW,750,0.232024672293143
BMW,750LI,0.1759209190789118
BMW,750i,0.123720592730681
BMW,760I,0.1339737695067269
BMW,760LI,0.1414279220022711
BMW,840Ci,-0.0221555727554141
BMW,840I,0.0696451665308475
BMW,840I GRAN COUPE,0.1252813347665586
BMW,850Ci,0.1851851851851857
BMW,ACTIVE HYBRID 7,0.1420568219674346
BMW,AL E 750,0.1420568219674346
BMW,ALPINA,-0.0219851856549762
BMW,BMW 120,0.1420568219674346
BMW,BMW 135,0.1420568219674346
BMW,BMW 14,0.1420568219674346
BMW,BMW 3201,0.047282
BMW,BMW 320I,-2.3372081772260977
BMW,BMW 325,0.1420568219674346
BMW,BMW 3251,0.1420568219674346
BMW,BMW 330,0.1420568219674346
BMW,BMW 3301,0.1420568219674346
BMW,BMW 400 CC MOTORCYCLE,0.1420568219674346
BMW,BMW 420,0.1420568219674346
BMW,BMW 520,0.1808591503209955
BMW,BMW 525,0.1420568219674346
BMW,BMW 530,-0.0752599295703424
BMW,BMW 540,0.1420568219674346
BMW,BMW 645,0.1420568219674346
BMW,BMW 750,0.1420568219674346
BMW,BMW I5,0.1420568219674346
BMW,BMW X5,0.1420568219674346
BMW,BMW Z3,0.1420568219674346
BMW,C 650 GT,0.1420568219674346
BMW,CAR,0.1420568219674346
BMW,E 323,0.1420568219674346
BMW,EC6,0.1420568219674346
BMW,EDAN,0.1420568219674346
BMW,HERITAGE SOFTAIL,0.1420568219674346
BMW,I3,0.1097616178622241
BMW,I7,0.0351674694310994
BMW,I8,0.1512790022303107
BMW,IQ,0.1420568219674346
BMW,IX,0.1096791000327379
BMW,IX 3,0.1420568219674346
BMW,IX1,0.0380313637778693
BMW,IX3,-0.0509419968178783
BMW,M 235,0.0824965413701147
BMW,M 5,0.1420568219674346
BMW,M135I,0.1921182266009834
BMW,M2,0.1403553134140122
BMW,M2351,0.1420568219674346
BMW,M235I,0.2505695382363945
BMW,M235i GRAN COUPE,0.0858450980633209
BMW,M240i,0.1862071037762995
BMW,M3,0.1343504651319906
BMW,M340I,0.0712090921287674
BMW,M4,0.1311584637713204
BMW,M440I,0.0786865244333747
BMW,M440I GRAN COUPE,0.1707452379757035
BMW,M5,0.1551374924442553
BMW,M550I,0.0082460441274794
BMW,M6,0.1241534241349202
BMW,M6 GRAN COUPE,0.1420568219674346
BMW,M760LI,0.1420568219674346
BMW,M8,0.1038584767657923
BMW,M8 GRAN COUPE,0.1085840887255377
BMW,M850I,0.1280705108697072
BMW,M850I GRAN COUPE,0.1127662075260127
BMW,MINI,0.1420568219674346
BMW,R1200GS,0.1420568219674346
BMW,R9T,0.1420568219674346
BMW,SLINGSHOT SLINGS,0.1420568219674346
BMW,VESPA VXL,0.1420568219674346
BMW,X 3,0.1420568219674346
BMW,X 5,0.1420568219674346
BMW,X1,0.1418708006644272
BMW,X2,0.1535518159467154
BMW,X3,0.154348346106939
BMW,X4,0.1412481108878923
BMW,X5,0.1754555394136261
BMW,X5 M,0.1326109750431717
BMW,X6,0.1744625554778648
BMW,X6 M,0.1413904345470656
BMW,X7,0.1114604526934089
BMW,XM,0.0862122504406213
BMW,Z3,0.3734090539358253
BMW,Z4,0.150166132880443
BMW,Z8,0.1420568219674346
BMW,i4 GRAN COUPE,-0.0442802875620067
BMW,i5,0.1266129032258046
BMW,iX2,0.0904034896401327
BORGWARD,BX5,0.039123630672928
BORGWARD,BX7,0.039123630672928
BRILLIANCE,FRV CROSS,-0.1093750000000006
BRILLIANCE,H530,-0.1093750000000006
BRILLIANCE,JINBEI,-0.1093750000000006
BRILLIANCE,V5,-0.1093750000000006
BUGATTI,CHIRON,0.0286070765174673
BUGATTI,VEYRON,0.2413576815065085
BUICK,RIVIERA,0.1195580092498166
BYD,2023,0.0780079694362509
BYD,ATTO 3,0.0373855392092785
BYD,ATTO 8,0.166817
BYD,ATTO3,0.6959514170040485
BYD,BYD,0.0780079694362509
BYD,BYD SEAL,0.0780079694362509
BYD,BYD SONG PLUS,0.0780079694362509
BYD,DENZA,0.0780079694362509
BYD,DENZA N9,0.0780079694362509
BYD,DESTROYAR 05,-1.0825999999999998
BYD,DESTROYER 05,0.3327726549205293
BYD,DOLPHIN,0.0747235069320623
BYD,E2,0.0780079694362509
BYD,F3,0.138671
BYD,F6,0.0780079694362509
BYD,FANGCHENGBAO 5,0.0780079694362509
