model_slug,model_name,year,trim_name,price_aed,url,scraped_at
toyota-86,86,2018,86 GTX MT,104900,https://www.drivearabia.com/carprices/uae/toyota/toyota-86/2018/,2026-06-11T12:40:55Z
toyota-86,86,2018,86 VT/VTX AT,114900,https://www.drivearabia.com/carprices/uae/toyota/toyota-86/2018/,2026-06-11T12:40:55Z
toyota-86,86,2018,2016 Hyundai Genesis Coupe,108000,https://www.drivearabia.com/carprices/uae/toyota/toyota-86/2018/,2026-06-11T12:40:55Z
toyota-86,86,2018,2018 Nissan 370Z,151100,https://www.drivearabia.com/carprices/uae/toyota/toyota-86/2018/,2026-06-11T12:40:55Z
toyota-86,86,2019,Original Starting Price,116500,https://www.drivearabia.com/carprices/uae/toyota/toyota-86/2019/,2026-06-11T12:40:57Z
toyota-86,86,2019,VTX AT,116500,https://www.drivearabia.com/carprices/uae/toyota/toyota-86/2019/,2026-06-11T12:40:57Z
toyota-86,86,2019,2016 Hyundai Genesis Coupe,108000,https://www.drivearabia.com/carprices/uae/toyota/toyota-86/2019/,2026-06-11T12:40:57Z
toyota-86,86,2019,2019 Nissan 370Z,149000,https://www.drivearabia.com/carprices/uae/toyota/toyota-86/2019/,2026-06-11T12:40:57Z
toyota-aurion,Aurion,2010,Original Starting Price,99000,https://www.drivearabia.com/carprices/uae/toyota/toyota-aurion/2010/,2026-06-11T12:41:07Z
toyota-aurion,Aurion,2010,2010 Toyota Aurion,99000,https://www.drivearabia.com/carprices/uae/toyota/toyota-aurion/2010/,2026-06-11T12:41:07Z
toyota-aurion,Aurion,2010,2010 Honda Accord,84000,https://www.drivearabia.com/carprices/uae/toyota/toyota-aurion/2010/,2026-06-11T12:41:07Z
toyota-aurion,Aurion,2010,2010 Nissan Altima,72000,https://www.drivearabia.com/carprices/uae/toyota/toyota-aurion/2010/,2026-06-11T12:41:07Z
toyota-aurion,Aurion,2010,2010 Chevrolet Lumina,90000,https://www.drivearabia.com/carprices/uae/toyota/toyota-aurion/2010/,2026-06-11T12:41:07Z
toyota-aurion,Aurion,2011,Original Starting Price,99000,https://www.drivearabia.com/carprices/uae/toyota/toyota-aurion/2011/,2026-06-11T12:41:09Z
toyota-aurion,Aurion,2011,2011 Toyota Aurion,99000,https://www.drivearabia.com/carprices/uae/toyota/toyota-aurion/2011/,2026-06-11T12:41:09Z
toyota-aurion,Aurion,2011,2011 Honda Accord,89000,https://www.drivearabia.com/carprices/uae/toyota/toyota-aurion/2011/,2026-06-11T12:41:09Z
toyota-aurion,Aurion,2011,2011 Nissan Altima,72000,https://www.drivearabia.com/carprices/uae/toyota/toyota-aurion/2011/,2026-06-11T12:41:09Z
toyota-aurion,Aurion,2011,2011 Chevrolet Lumina,90000,https://www.drivearabia.com/carprices/uae/toyota/toyota-aurion/2011/,2026-06-11T12:41:09Z
toyota-aurion,Aurion,2012,Original Starting Price,115000,https://www.drivearabia.com/carprices/uae/toyota/toyota-aurion/2012/,2026-06-11T12:41:11Z
toyota-aurion,Aurion,2012,2012 Toyota Aurion,115000,https://www.drivearabia.com/carprices/uae/toyota/toyota-aurion/2012/,2026-06-11T12:41:11Z
toyota-aurion,Aurion,2012,2012 Mitsubishi Galant,59900,https://www.drivearabia.com/carprices/uae/toyota/toyota-aurion/2012/,2026-06-11T12:41:11Z
toyota-aurion,Aurion,2012,2012 Nissan Maxima,103500,https://www.drivearabia.com/carprices/uae/toyota/toyota-aurion/2012/,2026-06-11T12:41:11Z
toyota-aurion,Aurion,2012,2012 Ford Taurus,84000,https://www.drivearabia.com/carprices/uae/toyota/toyota-aurion/2012/,2026-06-11T12:41:11Z
toyota-aurion,Aurion,2013,Original Starting Price,115000,https://www.drivearabia.com/carprices/uae/toyota/toyota-aurion/2013/,2026-06-11T12:41:12Z
toyota-aurion,Aurion,2013,2013 Toyota Aurion,115000,https://www.drivearabia.com/carprices/uae/toyota/toyota-aurion/2013/,2026-06-11T12:41:12Z
toyota-aurion,Aurion,2013,2013 Mitsubishi Galant,59900,https://www.drivearabia.com/carprices/uae/toyota/toyota-aurion/2013/,2026-06-11T12:41:12Z
toyota-aurion,Aurion,2013,2013 Ford Taurus,99000,https://www.drivearabia.com/carprices/uae/toyota/toyota-aurion/2013/,2026-06-11T12:41:12Z
toyota-aurion,Aurion,2013,2013 Nissan Maxima,99500,https://www.drivearabia.com/carprices/uae/toyota/toyota-aurion/2013/,2026-06-11T12:41:12Z
toyota-aurion,Aurion,2014,Original Starting Price,115000,https://www.drivearabia.com/carprices/uae/toyota/toyota-aurion/2014/,2026-06-11T12:41:14Z
toyota-aurion,Aurion,2014,2014 Toyota Aurion,115000,https://www.drivearabia.com/carprices/uae/toyota/toyota-aurion/2014/,2026-06-11T12:41:14Z
toyota-aurion,Aurion,2014,2014 Mitsubishi Galant,59900,https://www.drivearabia.com/carprices/uae/toyota/toyota-aurion/2014/,2026-06-11T12:41:14Z
toyota-aurion,Aurion,2014,2014 Ford Taurus,99000,https://www.drivearabia.com/carprices/uae/toyota/toyota-aurion/2014/,2026-06-11T12:41:14Z
toyota-aurion,Aurion,2014,2014 Nissan Maxima,99500,https://www.drivearabia.com/carprices/uae/toyota/toyota-aurion/2014/,2026-06-11T12:41:14Z
toyota-aurion,Aurion,2015,Original Starting Price,114000,https://www.drivearabia.com/carprices/uae/toyota/toyota-aurion/2015/,2026-06-11T12:41:16Z
toyota-aurion,Aurion,2015,Sport,114000,https://www.drivearabia.com/carprices/uae/toyota/toyota-aurion/2015/,2026-06-11T12:41:16Z
toyota-aurion,Aurion,2015,Limited,117000,https://www.drivearabia.com/carprices/uae/toyota/toyota-aurion/2015/,2026-06-11T12:41:16Z
toyota-aurion,Aurion,2015,TRD,125725,https://www.drivearabia.com/carprices/uae/toyota/toyota-aurion/2015/,2026-06-11T12:41:16Z
toyota-aurion,Aurion,2015,2014 Mitsubishi Galant,59900,https://www.drivearabia.com/carprices/uae/toyota/toyota-aurion/2015/,2026-06-11T12:41:16Z
toyota-aurion,Aurion,2015,2015 Nissan Maxima,99500,https://www.drivearabia.com/carprices/uae/toyota/toyota-aurion/2015/,2026-06-11T12:41:16Z
toyota-aurion,Aurion,2015,2015 Ford Taurus,98000,https://www.drivearabia.com/carprices/uae/toyota/toyota-aurion/2015/,2026-06-11T12:41:16Z
toyota-aurion,Aurion,2016,Original Starting Price,114000,https://www.drivearabia.com/carprices/uae/toyota/toyota-aurion/2016/,2026-06-11T12:41:18Z
toyota-aurion,Aurion,2016,Sport,114000,https://www.drivearabia.com/carprices/uae/toyota/toyota-aurion/2016/,2026-06-11T12:41:18Z
toyota-aurion,Aurion,2016,Limited,117000,https://www.drivearabia.com/carprices/uae/toyota/toyota-aurion/2016/,2026-06-11T12:41:18Z
toyota-aurion,Aurion,2016,TRD,125725,https://www.drivearabia.com/carprices/uae/toyota/toyota-aurion/2016/,2026-06-11T12:41:18Z
toyota-aurion,Aurion,2016,2014 Mitsubishi Galant,59900,https://www.drivearabia.com/carprices/uae/toyota/toyota-aurion/2016/,2026-06-11T12:41:18Z
toyota-aurion,Aurion,2016,2016 Ford Taurus,98000,https://www.drivearabia.com/carprices/uae/toyota/toyota-aurion/2016/,2026-06-11T12:41:18Z
toyota-aurion,Aurion,2016,2016 Nissan Maxima,110000,https://www.drivearabia.com/carprices/uae/toyota/toyota-aurion/2016/,2026-06-11T12:41:18Z
toyota-aurion,Aurion,2017,Original Starting Price,114000,https://www.drivearabia.com/carprices/uae/toyota/toyota-aurion/2017/,2026-06-11T12:41:20Z
toyota-aurion,Aurion,2017,Sport,114000,https://www.drivearabia.com/carprices/uae/toyota/toyota-aurion/2017/,2026-06-11T12:41:20Z
toyota-aurion,Aurion,2017,Limited,117000,https://www.drivearabia.com/carprices/uae/toyota/toyota-aurion/2017/,2026-06-11T12:41:20Z
toyota-aurion,Aurion,2017,TRD,125725,https://www.drivearabia.com/carprices/uae/toyota/toyota-aurion/2017/,2026-06-11T12:41:20Z
toyota-aurion,Aurion,2017,2014 Mitsubishi Galant,59900,https://www.drivearabia.com/carprices/uae/toyota/toyota-aurion/2017/,2026-06-11T12:41:20Z
toyota-aurion,Aurion,2017,2017 Nissan Maxima,110000,https://www.drivearabia.com/carprices/uae/toyota/toyota-aurion/2017/,2026-06-11T12:41:20Z
toyota-aurion,Aurion,2017,2017 Ford Taurus,98000,https://www.drivearabia.com/carprices/uae/toyota/toyota-aurion/2017/,2026-06-11T12:41:20Z
toyota-avalon,Avalon,2010,Original Starting Price,111000,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2010/,2026-06-11T12:41:31Z
toyota-avalon,Avalon,2010,2010 Toyota Avalon,111000,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2010/,2026-06-11T12:41:31Z
toyota-avalon,Avalon,2010,2010 Chevrolet Caprice,100000,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2010/,2026-06-11T12:41:31Z
toyota-avalon,Avalon,2010,2009 Ford Five Hundred,85000,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2010/,2026-06-11T12:41:31Z
toyota-avalon,Avalon,2010,2010 Hyundai Azera,66900,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2010/,2026-06-11T12:41:31Z
toyota-avalon,Avalon,2011,Original Starting Price,142500,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2011/,2026-06-11T12:41:33Z
toyota-avalon,Avalon,2011,2011 Toyota Avalon,142500,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2011/,2026-06-11T12:41:33Z
toyota-avalon,Avalon,2011,2011 Chevrolet Caprice,100000,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2011/,2026-06-11T12:41:33Z
toyota-avalon,Avalon,2011,2011 Hyundai Azera,66900,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2011/,2026-06-11T12:41:33Z
toyota-avalon,Avalon,2011,2011 Ford Taurus,84000,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2011/,2026-06-11T12:41:33Z
toyota-avalon,Avalon,2012,Original Starting Price,142500,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2012/,2026-06-11T12:41:35Z
toyota-avalon,Avalon,2012,2012 Toyota Avalon,142500,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2012/,2026-06-11T12:41:35Z
toyota-avalon,Avalon,2012,2012 Chevrolet Caprice,100000,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2012/,2026-06-11T12:41:35Z
toyota-avalon,Avalon,2012,2012 Ford Taurus,84000,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2012/,2026-06-11T12:41:35Z
